141.8.143.208 - - [31/Oct/2015:17:07:26 -0700] "GET /poland.html HTTP/1.1" 404 89 "-" "Mozilla/5.0 (compatible; YandexBot/3.0; +http://yandex.com/bots)" "saveaslave.com"
180.76.15.17 - - [31/Oct/2015:17:13:29 -0700] "GET /indonesia.html HTTP/1.1" 404 89 "-" "Mozilla/5.0 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html)" "www.saveaslave.com"
46.119.123.33 - - [31/Oct/2015:17:16:31 -0700] "GET / HTTP/1.1" 200 52123 "http://allcredits.su/" "Mozilla/4.0 (compatible; MSIE 5.5; Windows NT 5.0)" "www.saveaslave.com"
46.119.123.33 - - [31/Oct/2015:17:16:32 -0700] "GET / HTTP/1.1" 200 52123 "http://allcredits.su/" "Mozilla/4.0 (compatible; MSIE 5.5; Windows NT 5.0)" "www.saveaslave.com"
46.119.123.33 - - [31/Oct/2015:17:16:33 -0700] "GET / HTTP/1.1" 200 52123 "http://allcredits.su/" "Mozilla/4.0 (compatible; MSIE 5.5; Windows NT 5.0)" "www.saveaslave.com"
66.249.69.96 - - [31/Oct/2015:17:23:09 -0700] "GET /images/countrymap/barbados-flag.gif HTTP/1.1" 404 89 "-" "Googlebot-Image/1.0" "www.saveaslave.com"
14.139.119.173 - - [31/Oct/2015:17:23:55 -0700] "GET /images/countrymap/solomon-islands.gif HTTP/1.1" 404 89 "https://www.google.co.in/" "Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/30.0.1599.69 Safari/537.36" "www.saveaslave.com"
54.88.251.212 - - [31/Oct/2015:17:30:02 -0700] "GET / HTTP/1.1" 200 52159 "-" "Trove (help@trove.com, http://www.trove.com)" "www.saveaslave.com"
52.4.180.199 - - [31/Oct/2015:17:30:03 -0700] "GET / HTTP/1.1" 200 52159 "-" "Trove (help@trove.com, http://www.trove.com)" "www.saveaslave.com"
208.115.113.86 - - [31/Oct/2015:17:33:35 -0700] "GET /robots.txt HTTP/1.1" 200 48 "-" "Mozilla/5.0 (compatible; DotBot/1.1; http://www.opensiteexplorer.org/dotbot, help@moz.com)" "www.saveaslave.com"
208.115.113.86 - - [31/Oct/2015:17:33:35 -0700] "GET /robots.txt HTTP/1.1" 200 48 "-" "Mozilla/5.0 (compatible; DotBot/1.1; http://www.opensiteexplorer.org/dotbot, help@moz.com)" "saveaslave.com"
119.94.114.55 - - [31/Oct/2015:17:42:52 -0700] "GET /images/countrymap/solomon-islands.gif HTTP/1.1" 404 89 "-" "Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/46.0.2490.80 Safari/537.36" "www.saveaslave.com"
37.130.227.133 - - [31/Oct/2015:17:50:00 -0700] "GET / HTTP/1.1" 200 52123 "http://pizza-imperia.com/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.120 Safari/537.36" "saveaslave.com"
66.249.75.128 - - [31/Oct/2015:17:59:12 -0700] "GET /san-marino.html HTTP/1.1" 404 89 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)" "saveaslave.com"
