59.124.71.196 - - [30/Apr/2016:17:20:37 -0700] "GET /?author=1 HTTP/1.1" 200 89069 "-" "Mozilla/5.0 (Windows NT 6.3; WOW64; rv:28.0) Gecko/20100101 Firefox/28.0" "saveaslave.com"
208.115.113.86 - - [30/Apr/2016:17:22:22 -0700] "GET /Coulture.html HTTP/1.1" 404 89 "-" "Mozilla/5.0 (compatible; DotBot/1.1; http://www.opensiteexplorer.org/dotbot, help@moz.com)" "saveaslave.com"
208.115.113.86 - - [30/Apr/2016:17:22:23 -0700] "GET /PayPal.html HTTP/1.1" 404 89 "-" "Mozilla/5.0 (compatible; DotBot/1.1; http://www.opensiteexplorer.org/dotbot, help@moz.com)" "www.saveaslave.com"
51.255.65.49 - - [30/Apr/2016:17:31:01 -0700] "GET /nepal.html HTTP/1.1" 404 89 "-" "Mozilla/5.0 (compatible; AhrefsBot/5.1; +http://ahrefs.com/robot/)" "saveaslave.com"
208.115.113.86 - - [30/Apr/2016:17:40:28 -0700] "GET /robots.txt HTTP/1.1" 200 48 "-" "Mozilla/5.0 (compatible; DotBot/1.1; http://www.opensiteexplorer.org/dotbot, help@moz.com)" "www.saveaslave.com"
61.135.189.101 - - [30/Apr/2016:17:53:31 -0700] "GET /site/?cat=76 HTTP/1.1" 404 89 "-" "Sogou web spider/4.0(+http://www.sogou.com/docs/help/webmasters.htm#07)" "saveaslave.com"
208.115.113.94 - - [30/Apr/2016:17:54:27 -0700] "GET /article.php?id=22 HTTP/1.1" 200 46639 "-" "Mozilla/5.0 (compatible; DotBot/1.1; http://www.opensiteexplorer.org/dotbot, help@moz.com)" "www.saveaslave.com"
51.255.65.21 - - [30/Apr/2016:17:55:20 -0700] "GET /niger.html HTTP/1.1" 404 89 "-" "Mozilla/5.0 (compatible; AhrefsBot/5.1; +http://ahrefs.com/robot/)" "saveaslave.com"
85.93.91.84 - - [30/Apr/2016:18:13:16 -0700] "GET /robots.txt HTTP/1.1" 200 48 "-" "Mozilla/5.0 (compatible; DeuSu/5.0.2; +https://deusu.de/robot.html)" "www.saveaslave.com"
85.93.91.84 - - [30/Apr/2016:18:13:17 -0700] "GET /www.tapestri.org HTTP/1.1" 404 89 "-" "Mozilla/5.0 (compatible; DeuSu/5.0.2; +https://deusu.de/robot.html)" "www.saveaslave.com"
180.76.15.152 - - [30/Apr/2016:18:15:56 -0700] "GET /images/supporters/Thumbs.db HTTP/1.1" 200 305664 "-" "Mozilla/5.0 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html)" "www.saveaslave.com"
